,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
10,EC,1,29/06/2014,11,64,50,3,00:05:00,00:45:00,00:20:00,-71.00818204,-12.99419903,1006.189819,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,En hoja,Activo,0.23,13.3,,,Bd192,No colectado,
11,AB,5,11/7/16 00:00,3,54,150,5,00:09:00,00:33:00,00:13:00,282174,8562800,984,19L,Craugastoridae,Pristimantis,gagliardi,0.1,Hoja,Activo,na,na,,,No tiene,,Se escapo
12,AB,5,11/7/16 00:00,3,54,150,5,00:09:00,00:33:00,00:15:00,282174,8562800,984,19L,Hylidae,Osteocephalus,mimeticus,0.7,Rama,Alerta,7.31,52.2,,,5Bd052,,
13,AB,5,11/7/16 00:00,3,54,150,5,00:09:00,00:33:00,00:20:00,282182,8562813,986,19L,Craugastoridae,Pristimantis,danae,0.3,Hoja,Activo,0.98,24.5,,,5Bd053,,
14,LC,2,28/09/2014,2,54,150,,00:15:00,00:55:00,00:30:00,8562826,282193,1002,19L,Craugastoridae,Pristimantis,danae,80,sobre rama de un arbol,cantando,1.45,26.8,0,no tiene fotos,2Bd038,no,
15,LC,2,28/09/2014,2,54,150,3,00:15:00,00:55:00,00:16:00,-,-,-,-,Bufonidae,Rhinella,tacana,30,sobre hoja de una herbacea,alerta,1.4,21.4,0,no tiene fotos,2Bd037,no,
16,DR,3,2/10/15 00:00,10,45,250,3,00:16:00,00:56:00,00:56:00,282249,8563013,971,19 L,Leptodactylidae,Adenomera,andreae,0,Suelo,Saltando,0.37,15.1,-,no,3Bd211,no,Lluvia
17,DR,3,2/10/15 00:00,10,45,250,3,00:16:00,00:56:00,00:45:00,282269,8563017,973,19 L,Craugastoridae,Pristimantis,danae,0,Suelo,Alerta,0.12,8.1,-,no,3Bd212,no,Lluvia
18,DR,3,2/10/15 00:00,10,45,250,3,00:16:00,00:56:00,00:32:00,282254,8563015,974,19 L,Craugastoridae,Pristimantis,danae,0.1,Hoja,Atento,0.11,8.1,-,no,3Bd213,no,Lluvia
19,AB,5,15/7/2016,6,62,50,5,00:18:00,00:42:00,00:34:00,282199,8562518,1045,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.8,Hoja,Alerta,1.46,42.9,"18,8",,5Bd109,,
20,AB,5,15/7/2016,6,62,50,5,00:18:00,00:42:00,00:34:00,282199,8562513,1045,19L,Craugastoridae,Pristimantis,danae,1,Hoja,Atento,1.44,25.8,,,5Bd110,,
21,AB,5,15/7/2016,6,62,50,5,00:18:00,00:42:00,00:40:00,282194,8562524,1040,19L,Craugastoridae,Pristimantis,danae,1.1,Hoja,Saltando,1.41,25.2,,,5Bd106,,
22,AB,5,15/7/2016,6,62,50,5,00:18:00,00:42:00,00:25:00,282210,8562488,1054,19L,Leptodactylidae,Adenomera,andreae,0,Hoja,Saltando,0.46,16.8,,,5Bd107,,GPS aproximado
23,AB,5,15/7/2016,6,62,50,5,00:18:00,00:42:00,00:32:00,282210,8562488,1054,19L,Leptodactylidae,Adenomera,andreae,0,Suelo,Saltando,0.34,14.6,,,5Bd108,,GPS aproximado
24,LC,2,27/09/2014,1,30,500,3,00:20:00,01:00:00,00:23:00,-,-,-,-,Bufonidae,Rhinella,tacana,desconocida,desconocida,cantando,na,na,desconocido,no tiene fotos,no,no,registro auditivo
25,LC,2,29/09/2014,3,66,50,3,00:20:00,01:00:00,00:22:00,8562750,282242,1002,19L,Phyllomedusidae,Phyllomedusa,camba,200,en el tronco de un arbol delgado,casi durmiendo,33.05,83.6,0,falta el codigo,2Bd058,154376,
26,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:25:00,282246,8562745,1049,19 L,Bufonidae,Rhinella,tacana,0.8,Hoja,Activo,1.57,25.7,-,NO,3Bd076,no,Una hora de lluvia moderada 16:30 - 17:50
27,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:44:00,282268,8562778,1001,19 L,Craugastoridae,Noblella,sp,0,Hojarasca,Saltando,0.33,13.7,-,3670/3681,3Bd075,154425,Una hora de lluvia moderada 16:30 - 17:50
28,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:50:00,282274,8562771,1052,19 L,Craugastoridae,Pristimantis,danae,0.5,Rama,Saltando,0.33,15.6,-,no,3Bd071,no,Una hora de lluvia moderada 16:30 - 17:50
29,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:40:00,282251,8562765,1051,19 L,Leptodactylidae,Adenomera,andreae,0,Hojarasca,Saltando,0.31,14.9,-,no,3Bd072,no,Una hora de lluvia moderada 16:30 - 17:50
30,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:41:00,282251,8562765,1051,19 L,Craugastoridae,Noblella,sp,0,Hojarasca,Saltando,0.3,12.9,-,no,3Bd073,no,Una hora de lluvia moderada 16:30 - 17:50
31,DR,3,2/4/15 00:00,4,66,50,4,00:21:00,00:51:00,00:55:00,282280,8562764,1004,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.1,Hoja,Alerta,0.2,13.1,-,no,3Bd077,no,Una hora de lluvia moderada 16:30 - 17:50
