,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev
14,LC,2,2014-09-28,2,54,150,,00:15:00,00:55:00,00:30:00,8562826.0,282193.0,1002.0,19L,Craugastoridae,Pristimantis,danae,80.0,sobre rama de un arbol,cantando,1.45,26.8,,,2Bd038,,,2014,9,28,15.0,3.5,220.0,2350.0,12.176165803108809,193.0,12.0,19.0,101.184,0.15,984.25
15,LC,2,2014-09-28,2,54,150,3.0,00:15:00,00:55:00,00:16:00,,,,,Bufonidae,Rhinella,tacana,30.0,sobre hoja de una herbacea,alerta,1.4,21.4,,,2Bd037,,,2014,9,28,15.0,3.5,220.0,2350.0,12.176165803108809,193.0,12.0,19.0,101.184,0.15,984.25
16,DR,3,2015-02-10,10,45,250,3.0,00:16:00,00:56:00,00:56:00,282249.0,8563013.0,971.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.37,15.1,,,3Bd211,,Lluvia,2015,2,10,6.0,3.3,130.0,750.0,13.392857142857142,56.0,0.0,20.0,102.0,0.69,969.25
17,DR,3,2015-02-10,10,45,250,3.0,00:16:00,00:56:00,00:45:00,282269.0,8563017.0,973.0,19L,Craugastoridae,Pristimantis,danae,0.0,suelo,alerta,0.12,8.1,,,3Bd212,,Lluvia,2015,2,10,6.0,3.3,130.0,750.0,13.392857142857142,56.0,0.0,20.0,102.0,0.69,969.25
18,DR,3,2015-02-10,10,45,250,3.0,00:16:00,00:56:00,00:32:00,282254.0,8563015.0,974.0,19L,Craugastoridae,Pristimantis,danae,0.1,hoja,atento,0.11,8.1,,,3Bd213,,Lluvia,2015,2,10,6.0,3.3,130.0,750.0,13.392857142857142,56.0,0.0,20.0,102.0,0.69,969.25
19,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:34:00,282199.0,8562518.0,1045.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.8,hoja,alerta,1.46,42.9,18.8,,5Bd109,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5
20,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:34:00,282199.0,8562513.0,1045.0,19L,Craugastoridae,Pristimantis,danae,1.0,hoja,atento,1.44,25.8,,,5Bd110,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5
21,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:40:00,282194.0,8562524.0,1040.0,19L,Craugastoridae,Pristimantis,danae,1.1,hoja,saltando,1.41,25.2,,,5Bd106,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5
22,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:25:00,282210.0,8562488.0,1054.0,19L,Leptodactylidae,Adenomera,andreae,0.0,hoja,saltando,0.46,16.8,,,5Bd107,,GPS aproximado,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5
23,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:32:00,282210.0,8562488.0,1054.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.34,14.6,,,5Bd108,,GPS aproximado,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5
