,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev,Lat,Long
0,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:20:00,971.471069,19L,Craugastoridae,Pristimantis,danae,0.0,en el suelo,activo,1.13,25.4,,,Bd136,,Cerca al punto GPS,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
1,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:04:00,980.779723999999,19L,Bufonidae,Rhinella,tacana,0.6,en hoja,activo,0.84,20.55,,,Bd135,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
2,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:16:00,980.786437999999,19L,Craugastoridae,Pristimantis,aff pharangobates,0.3,en hoja,activo,0.73,20.05,,,Bd139,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
3,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:16:00,980.786437999999,19L,Craugastoridae,Pristimantis,gagliardi,0.3,en hoja,activo,0.18,13.21,,,Bd137,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
4,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:31:00,979.307312,19L,Craugastoridae,Pristimantis,gagliardi,1.0,en musgo de arbol,activo,0.15,11.5,,,Bd138,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
5,AB,5,2016-07-12,4,66,50,5.0,00:03:00,00:27:00,00:14:00,995.0,19L,Bufonidae,Rhinella,tacana,0.3,hoja,alerta,0.92,21.7,,,5Bd062,,,2016,7,12,2.0,0.0,100.0,0.0,0.0,99.0,0.0,20.75,,0.52,1008.5,282248,8562718
6,AB,5,2016-07-12,4,66,50,5.0,00:03:00,00:27:00,00:25:00,997.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.0,suelo,alerta,0.69,23.8,24.6,,5Bd063,,,2016,7,12,2.0,0.0,100.0,0.0,0.0,99.0,0.0,20.75,,0.52,1008.5,282248,8562718
7,AB,5,2016-07-12,4,66,50,5.0,00:03:00,00:27:00,00:21:00,995.0,19L,Craugastoridae,Noblella,sp,0.0,suelo,alerta,0.15,11.9,,4668-4673,5Bd064,22271,,2016,7,12,2.0,0.0,100.0,0.0,0.0,99.0,0.0,20.75,,0.52,1008.5,282248,8562718
8,EC,1,2014-06-29,11,64,50,3.0,00:05:00,00:45:00,00:12:00,934.129578,19L,Craugastoridae,Pristimantis,aff pharangobates,0.5,en hoja,atento,0.61,19.5,,,Bd194,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,996.5,282189,8562639
9,EC,1,2014-06-29,11,64,50,3.0,00:05:00,00:45:00,00:28:00,966.778992,19L,Bufonidae,Rhinella,tacana,0.8,en hoja,atento,0.6,20.0,,,Bd193,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,996.5,282189,8562639
10,EC,1,2014-06-29,11,64,50,3.0,00:05:00,00:45:00,00:20:00,1006.189819,19L,Craugastoridae,Pristimantis,gagliardi,0.2,en hoja,activo,0.23,13.3,,,Bd192,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,996.5,282189,8562639
11,AB,5,2016-07-11,3,54,150,5.0,00:09:00,00:33:00,00:13:00,984.0,19L,Craugastoridae,Pristimantis,gagliardi,0.1,hoja,activo,,,,,,,Se escapo,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,22.0,,0.42,984.25,282187,8562812
12,AB,5,2016-07-11,3,54,150,5.0,00:09:00,00:33:00,00:15:00,984.0,19L,Hylidae,Osteocephalus,mimeticus,0.7,rama,alerta,7.31,52.2,,,5Bd052,,,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,22.0,,0.42,984.25,282187,8562812
13,AB,5,2016-07-11,3,54,150,5.0,00:09:00,00:33:00,00:20:00,986.0,19L,Craugastoridae,Pristimantis,danae,0.3,hoja,activo,0.98,24.5,,,5Bd053,,,2016,7,11,2.0,0.0,0.0,0.0,,0.0,0.0,22.0,,0.42,984.25,282187,8562812
14,LC,2,2014-09-28,2,54,150,,00:15:00,00:55:00,00:30:00,1002.0,19L,Craugastoridae,Pristimantis,danae,80.0,sobre rama de un arbol,cantando,1.45,26.8,,,2Bd038,,,2014,9,28,15.0,3.5,220.0,2350.0,12.176165803108809,193.0,12.0,19.0,101.184,0.15,984.25,282187,8562812
15,LC,2,2014-09-28,2,54,150,3.0,00:15:00,00:55:00,00:16:00,,,Bufonidae,Rhinella,tacana,30.0,sobre hoja de una herbacea,alerta,1.4,21.4,,,2Bd037,,,2014,9,28,15.0,3.5,220.0,2350.0,12.176165803108809,193.0,12.0,19.0,101.184,0.15,984.25,282187,8562812
16,DR,3,2015-02-10,10,45,250,3.0,00:16:00,00:56:00,00:56:00,971.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.37,15.1,,,3Bd211,,Lluvia,2015,2,10,6.0,3.3,130.0,750.0,13.392857142857142,56.0,0.0,20.0,102.0,0.69,969.25,282246,8563026
17,DR,3,2015-02-10,10,45,250,3.0,00:16:00,00:56:00,00:45:00,973.0,19L,Craugastoridae,Pristimantis,danae,0.0,suelo,alerta,0.12,8.1,,,3Bd212,,Lluvia,2015,2,10,6.0,3.3,130.0,750.0,13.392857142857142,56.0,0.0,20.0,102.0,0.69,969.25,282246,8563026
18,DR,3,2015-02-10,10,45,250,3.0,00:16:00,00:56:00,00:32:00,974.0,19L,Craugastoridae,Pristimantis,danae,0.1,hoja,atento,0.11,8.1,,,3Bd213,,Lluvia,2015,2,10,6.0,3.3,130.0,750.0,13.392857142857142,56.0,0.0,20.0,102.0,0.69,969.25,282246,8563026
19,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:34:00,1045.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.8,hoja,alerta,1.46,42.9,18.8,,5Bd109,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5,282215,8562499
20,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:34:00,1045.0,19L,Craugastoridae,Pristimantis,danae,1.0,hoja,atento,1.44,25.8,,,5Bd110,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5,282215,8562499
21,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:40:00,1040.0,19L,Craugastoridae,Pristimantis,danae,1.1,hoja,saltando,1.41,25.2,,,5Bd106,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5,282215,8562499
22,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:25:00,1054.0,19L,Leptodactylidae,Adenomera,andreae,0.0,hoja,saltando,0.46,16.8,,,5Bd107,,GPS aproximado,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5,282215,8562499
23,AB,5,2016-07-15,6,62,50,5.0,00:18:00,00:42:00,00:32:00,1054.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.34,14.6,,,5Bd108,,GPS aproximado,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1050.5,282215,8562499
24,LC,2,2014-09-27,1,30,500,3.0,00:20:00,01:00:00,00:23:00,,,Bufonidae,Rhinella,tacana,,,cantando,,,,,,,registro auditivo,2014,9,27,15.0,4.5,303.0,2350.0,12.176165803108809,193.0,1.0,20.75,98.526,0.08,938.0,281912,8563030
25,LC,2,2014-09-29,3,66,50,3.0,00:20:00,01:00:00,00:22:00,1002.0,19L,Phyllomedusidae,Phyllomedusa,camba,200.0,en el tronco de un arbol delgado,casi durmiendo,33.05,83.6,,,2Bd058,154376,,2014,9,29,15.0,0.0,462.0,2350.0,11.868686868686869,198.0,15.0,18.5,102.163,0.23,1008.5,282248,8562718
26,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:25:00,1049.0,19L,Bufonidae,Rhinella,tacana,0.8,hoja,activo,1.57,25.7,,,3Bd076,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
27,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:44:00,1001.0,19L,Craugastoridae,Noblella,sp,0.0,hojarasca,saltando,0.33,13.7,,3670/3681,3Bd075,154425,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
28,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:50:00,1052.0,19L,Craugastoridae,Pristimantis,danae,0.5,rama,saltando,0.33,15.6,,,3Bd071,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
29,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:40:00,1051.0,19L,Leptodactylidae,Adenomera,andreae,0.0,hojarasca,saltando,0.31,14.9,,,3Bd072,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
30,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:41:00,1051.0,19L,Craugastoridae,Noblella,sp,0.0,hojarasca,saltando,0.3,12.9,,,3Bd073,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
31,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:55:00,1004.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.1,hoja,alerta,0.2,13.1,,,3Bd077,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
32,DR,3,2015-02-04,4,66,50,4.0,00:21:00,00:51:00,00:39:00,1050.0,19L,Craugastoridae,Pristimantis,danae,0.2,hoja,activo,0.14,11.1,,,3Bd074,,Una hora de lluvia moderada 16:30 - 17:50,2015,2,4,7.0,1.0,165.0,920.0,13.142857142857142,70.0,11.0,21.0,99.0,1.0,1008.5,282248,8562718
33,AB,5,2016-07-13,5,55,150,6.0,00:26:00,00:46:00,00:41:00,973.0,19L,Craugastoridae,Pristimantis,danae,0.5,hoja,alerta,1.3,24.1,,,5Bd079,,,2016,7,13,2.0,2.2,180.0,0.0,0.0,99.0,0.0,21.0,,0.61,965.75,282204,8562882
34,AB,5,2016-07-13,5,55,150,6.0,00:26:00,00:46:00,00:36:00,920.0,19L,Craugastoridae,Pristimantis,danae,0.5,hoja,alerta,0.63,20.8,,,5Bd078,,,2016,7,13,2.0,2.2,180.0,0.0,0.0,99.0,0.0,21.0,,0.61,965.75,282204,8562882
35,AB,5,2016-07-13,5,55,150,6.0,00:26:00,00:46:00,00:37:00,974.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.53,18.9,,,5Bd080,,,2016,7,13,2.0,2.2,180.0,0.0,0.0,99.0,0.0,21.0,,0.61,965.75,282204,8562882
36,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:41:00,1017.0,19L,Bufonidae,Rhinella,tacana,1.1,hoja,activo,3.38,32.8,,,3Bd133,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0,282374,8562841
37,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:54:00,,,Craugastoridae,Oreobates,amarakaeri,0.0,suelo,saltando,2.09,29.3,,,3Bd135,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0,282374,8562841
38,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:47:00,1015.0,19L,Craugastoridae,Pristimantis,danae,0.0,hojarasca,saltando,0.79,23.4,,,3Bd134,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0,282374,8562841
39,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:46:00,1088.0,19L,Craugastoridae,Noblella,sp,0.1,hoja,activo,0.15,11.2,,,3Bd138,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0,282374,8562841
40,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:46:00,1086.0,19L,Craugastoridae,Pristimantis,danae,0.8,hoja,activo,0.12,10.9,,,3Bd136,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0,282374,8562841
41,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:54:00,1087.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.5,musgo,alerta,0.05,11.0,,,3Bd137,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0,282374,8562841
42,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:50:00,1004.0,19L,Bufonidae,Rhinella,tacana,0.4,tubo,alerta,2.65,32.4,,,3Bd038,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75,282245,8562702
43,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:40:00,998.0,19L,Centrolenidae,Cochranella,nola,1.3,hoja,alerta,0.85,23.2,,,3Bd040,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75,282245,8562702
44,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:54:00,1037.0,19L,Bufonidae,Rhinella,tacana,0.5,hoja,activo,0.35,16.2,,,3bD041,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75,282245,8562702
45,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:39:00,,,Craugastoridae,Pristimantis,danae,0.1,hoja,activo,0.3,18.5,,,3Bd039,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75,282245,8562702
46,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,01:00:00,994.404906999999,19L,Craugastoridae,Pristimantis,danae,0.0,en hojarasca,saltando,1.39,26.8,,,Bd226,,Entre p69-3 y p69-4,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0,282374,8562841
47,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,01:04:00,994.404906999999,19L,Leptodactylidae,Adenomera,andreae,0.0,en hojarasca,saltando,0.58,17.25,,,Bd229,,Normal sin lineas,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0,282374,8562841
48,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,00:51:00,994.196533,19L,Craugastoridae,Pristimantis,aff pharangobates,0.0,en hojarasca,saltando,0.39,17.48,,,Bd230,,Cerca al punto GPS,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0,282374,8562841
49,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,00:49:00,994.196533,19L,Craugastoridae,Pristimantis,gagliardi,0.0,en hojarasca,saltando,0.27,14.9,,,Bd227,,Cerca al punto GPS,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0,282374,8562841
50,EC,1,2014-06-30,12,69,50,3.0,00:40:00,01:20:00,00:45:00,994.196533,19L,Craugastoridae,Noblella,sp,0.0,en hojarasca,saltando,0.17,11.18,,,Bd228,,Cerca al punto GPS,2014,6,30,4.0,0.0,0.0,1030.0,11.573033707865168,89.0,12.0,15.0,103.0,0.08,1029.0,282374,8562841
51,RI,4,2015-07-15,1,54,150,4.0,00:50:00,01:20:00,01:10:00,988.038147,19L,Craugastoridae,Noblella,sp,0.0,hojarasca,saltando,0.27,12.1,,,4Bd029,,,2015,7,15,6.0,0.0,303.0,1254.0,11.0,114.0,11.0,21.0,99.036,0.01,984.25,282187,8562812
52,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:05:00,950.0,19L,Hylidae,Osteocephalus,mimeticus,2.0,rama,activo,3.66,45.0,,4415-4418,5Bd021,22255,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5,282335,8562866
53,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:20:00,1003.0,19L,Centrolenidae,Cochranella,nola,1.5,hoja,activo,1.11,26.1,,,5Bd019,,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5,282335,8562866
54,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:21:00,1001.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.5,tronco,activo,0.96,39.8,29.8,4428-4444,5Bd022,22265,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5,282335,8562866
55,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:28:00,997.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,activo,0.72,29.3,,,5Bd018,,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5,282335,8562866
56,AB,5,2016-09-07,1,68,50,4.0,00:58:00,01:28:00,01:27:00,997.0,19L,Craugastoridae,Noblella,sp,0.0,suelo,saltando,0.05,10.0,,4385-4407,5Bd020,22258,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,998.5,282335,8562866
57,EC,1,2014-06-28,10,66,50,3.0,01:00:00,01:40:00,,,,Hylidae,Hypsiboas,sp nov,0.0,,,6.55,43.1,,,Bd174,,Macho / Datos JC,2014,6,28,5.0,10.0,0.0,1000.0,11.363636363636363,88.0,0.0,12.0,104.0,0.01,1008.5,282248,8562718
58,EC,1,2014-06-28,10,66,50,3.0,01:00:00,01:40:00,,,,Bufonidae,Rhinella,tacana,1.5,en hoja,activo,0.37,16.0,,,Bd175,,Datos JC,2014,6,28,5.0,10.0,0.0,1000.0,11.363636363636363,88.0,0.0,12.0,104.0,0.01,1008.5,282248,8562718
59,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:28:00,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,9.13,47.15,,,Bd199,,Cerca al punto Gps,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
60,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:30:00,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,6.64,43.82,,,Bd202,UNMS 154339,"En amplexus, con 250 huevos en criovial",2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
61,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:30:00,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,5.97,44.82,,,Bd200,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
62,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:30:00,1013.50708,19L,Hylidae,Hypsiboas,sp nov,0.0,en roca de quebrada,saltando,5.78,47.0,,,Bd203,UNMS 154340,"En amplexus, con 250 huevos en criovial",2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
63,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:37:00,993.538757,19L,Bufonidae,Rhinella,tacana,0.4,en hoja,atento,2.2,32.1,,,Bd195,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
64,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:17:00,1003.23822,19L,Bufonidae,Rhinella,tacana,1.0,en hoja,activo,0.83,22.3,,,Bd198,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
65,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:04:00,991.156127999999,19L,Craugastoridae,Pristimantis,ockendeni,1.5,en hoja de trepadora,atento,0.31,15.5,,,Bd196,,Vientre negro,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
66,EC,1,2014-06-29,11,65,50,3.0,01:02:00,01:42:00,01:40:00,993.538757,19L,Bufonidae,Rhinella,tacana,1.0,en hoja,activo,0.22,14.22,,,Bd197,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,1001.75,282245,8562702
67,LC,2,2014-10-08,12,63,50,4.0,01:07:00,01:37:00,01:30:00,1014.0,19L,Bufonidae,Rhinella,tacana,30.0,axila de una p;anta parecida a una heliconia gigante,cantando,1.4,23.3,,,2Bd163,,,2014,10,8,14.0,0.0,514.0,2280.0,11.93717277486911,191.0,15.0,20.5,100.69,1.0,1019.0,282226,8562574
68,AB,5,2016-07-15,6,63,50,5.0,01:18:00,01:42:00,01:18:00,1010.0,19L,Bufonidae,Rhinella,tacana,0.3,hoja,activo,2.97,31.7,,,5Bd113,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1019.0,282226,8562574
69,AB,5,2016-07-15,6,63,50,5.0,01:18:00,01:42:00,01:42:00,1019.0,19L,Hylidae,Dendropsophus,aff parviceps,0.8,hoja,cantando,0.45,17.4,,,5Bd111,,,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1019.0,282226,8562574
70,AB,5,2016-07-15,6,63,50,5.0,01:18:00,01:42:00,01:24:00,1028.0,19L,Craugastoridae,Noblella,sp,0.0,suelo,activo,0.14,11.4,,,5Bd112,,GPS aproximado,2016,7,15,2.0,0.0,105.0,0.0,0.0,100.0,4.0,20.0,,0.78,1019.0,282226,8562574
71,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:57:00,1090.0,19L,Craugastoridae,Pristimantis,diadematus,0.07,hoja,activo,3.0,34.8,,3881-3898,3Bd141,154438,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
72,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:38:00,1011.0,19L,Bufonidae,Rhinella,tacana,0.2,hoja,alerta,2.0,30.2,,,3Bd146,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
73,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:37:00,1012.0,19L,Bufonidae,Rhinella,tacana,1.0,hoja,alerta,1.73,27.7,,,3Bd144,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
74,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:52:00,1011.0,19L,Bufonidae,Rhinella,tacana,1.2,hoja,alerta,0.42,18.3,,,3Bd142,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
75,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:38:00,1088.0,19L,Craugastoridae,Pristimantis,danae,0.2,hoja,atento,0.27,14.3,,,3Bd140,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
76,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:48:00,1089.0,19L,Craugastoridae,Pristimantis,gagliardi,0.2,hoja,atento,0.22,13.7,,,3Bd143,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
77,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:38:00,1011.0,19L,Craugastoridae,Pristimantis,danae,0.3,hoja,saltando,0.17,13.8,,,3Bd145,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
78,DR,3,2015-02-06,6,68,50,4.0,01:26:00,01:56:00,01:53:00,1090.0,19L,Craugastoridae,Pristimantis,divnae,1.0,hoja,atento,0.1,11.0,,,3Bd139,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,998.5,282335,8562866
79,LC,2,2014-10-08,12,64,50,,01:55:00,02:25:00,02:20:00,,19L,Hylidae,Osteocephalus,mimeticus,20.0,sobre hoja,cantando,,,,,,,se escapo,2014,10,8,14.0,0.0,514.0,2280.0,11.93717277486911,191.0,15.0,20.5,101.184,1.0,996.5,282189,8562639
80,LC,2,2014-10-08,12,64,50,4.0,01:55:00,02:25:00,02:20:00,,19L,Hylidae,Osteocephalus,mimeticus,0.0,sobre una hoja en un pozo de una quebrada,cantando,4.85,44.1,,,2Bd164,154405,,2014,10,8,14.0,0.0,514.0,2280.0,11.93717277486911,191.0,15.0,20.5,101.184,1.0,996.5,282189,8562639
81,AB,5,2016-09-07,1,67,50,4.0,02:13:00,02:43:00,02:29:00,998.0,19L,Craugastoridae,Pristimantis,ockendeni,0.0,suelo,saltando,0.39,10.5,,4475-4483,5Bd024,22257,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,1000.75,282304,8562809
82,AB,5,2016-09-07,1,67,50,4.0,02:13:00,02:43:00,02:14:00,1000.0,19L,Craugastoridae,Oreobates,amarakaeri,0.4,hoja,alerta,0.31,24.5,,,5Bd023,,,2016,9,7,2.0,0.0,80.0,0.0,0.0,67.0,0.0,,,0.24,1000.75,282304,8562809
